imgCount,embedCount,pCount,wordCount,successFail
40,1,37,1539,SUCCESS
39,5,27,721,SUCCESS
15,7,26,621,SUCCESS
36,7,50,1089,SUCCESS
18,1,54,1128,SUCCESS
15,0,85,1070,SUCCESS
20,1,39,1154,SUCCESS
25,0,68,2460,SUCCESS
12,0,26,801,SUCCESS
89,0,243,3325,SUCCESS
38,6,44,1237,SUCCESS
0,0,37,688,FAIL
45,3,63,1742,SUCCESS
2,0,39,1239,SUCCESS
15,0,66,1410,SUCCESS
50,0,44,1378,SUCCESS
19,0,68,1408,SUCCESS
10,1,29,710,SUCCESS
9,0,95,1929,SUCCESS
39,1,75,2124,SUCCESS
2,0,18,488,SUCCESS
5,1,60,1822,SUCCESS
49,0,94,2928,SUCCESS
34,0,90,2665,SUCCESS
9,4,23,422,FAIL
16,1,69,2755,SUCCESS
17,0,65,787,SUCCESS
28,1,42,740,FAIL
7,0,42,878,SUCCESS
47,0,44,717,SUCCESS
80,1,65,1268,SUCCESS
46,4,94,2436,SUCCESS
64,9,101,2970,SUCCESS
39,3,128,2370,SUCCESS
17,0,74,1834,SUCCESS
34,2,43,1147,SUCCESS
10,0,98,2816,SUCCESS
75,1,137,2760,SUCCESS
66,5,24,771,SUCCESS
9,0,26,806,SUCCESS
77,19,64,1790,SUCCESS
59,7,49,1155,SUCCESS
22,7,48,1204,SUCCESS
42,8,67,2029,SUCCESS
13,0,72,830,SUCCESS
7,0,48,1030,SUCCESS
29,0,41,679,SUCCESS
12,0,101,2968,SUCCESS
35,0,37,687,SUCCESS
33,1,85,3015,SUCCESS
5,0,38,1272,SUCCESS
27,0,88,2425,SUCCESS
6,0,56,1903,SUCCESS
42,0,150,4139,SUCCESS
26,0,68,1408,SUCCESS
14,4,71,1503,SUCCESS
50,2,37,708,SUCCESS
33,0,89,2359,SUCCESS
11,0,48,896,SUCCESS
28,0,38,938,SUCCESS
5,1,39,806,SUCCESS
14,0,44,1640,SUCCESS
7,0,45,1551,SUCCESS
12,0,38,926,SUCCESS
16,0,78,1447,SUCCESS
1,0,10,327,SUCCESS
7,0,43,1308,SUCCESS
8,0,71,1825,SUCCESS
11,0,67,3567,SUCCESS
3,0,18,297,SUCCESS
40,5,56,1853,SUCCESS
34,0,58,1298,SUCCESS
91,0,123,2078,SUCCESS
18,0,33,946,SUCCESS
41,4,22,553,SUCCESS
47,0,102,2414,SUCCESS
18,5,31,1033,SUCCESS
20,0,53,1296,SUCCESS
9,0,95,1906,SUCCESS
17,0,39,984,SUCCESS
53,1,84,1130,SUCCESS
8,1,35,662,SUCCESS
97,12,97,2338,SUCCESS
15,9,32,1040,SUCCESS
74,8,85,2256,SUCCESS
19,6,32,683,SUCCESS
52,0,68,1567,SUCCESS
9,0,50,1918,SUCCESS
23,4,40,1087,SUCCESS
28,1,37,959,SUCCESS
4,1,17,418,SUCCESS
26,0,64,1536,SUCCESS
49,6,45,990,SUCCESS
37,0,39,1891,SUCCESS
2,0,54,1053,SUCCESS
24,5,31,655,SUCCESS
16,0,39,1311,SUCCESS
38,0,59,908,SUCCESS
39,5,35,711,SUCCESS
17,0,48,1476,SUCCESS
28,0,21,243,SUCCESS
39,0,50,796,FAIL
17,0,55,1472,SUCCESS
19,0,64,1404,SUCCESS
64,0,49,1191,SUCCESS
38,0,55,1178,SUCCESS
11,1,48,2009,SUCCESS
8,3,61,1231,SUCCESS
40,5,41,766,FAIL
8,0,146,3581,SUCCESS
32,0,76,1481,SUCCESS
18,0,85,2182,SUCCESS
78,6,46,1889,SUCCESS
25,0,46,968,SUCCESS
24,3,46,1071,SUCCESS
9,0,37,1439,SUCCESS
31,0,56,1866,SUCCESS
35,3,79,2284,SUCCESS
7,0,23,585,SUCCESS
21,0,24,308,SUCCESS
9,0,31,929,SUCCESS
12,0,33,648,SUCCESS
15,0,114,3126,SUCCESS
7,0,75,1291,SUCCESS
28,5,71,1644,SUCCESS
5,0,70,1654,SUCCESS
11,1,37,303,SUCCESS
22,0,60,2177,SUCCESS
3,0,35,714,SUCCESS
43,2,114,1909,SUCCESS
22,0,65,1805,FAIL
9,0,46,728,SUCCESS
5,0,34,475,SUCCESS
27,3,100,1905,SUCCESS
31,2,59,1764,SUCCESS
12,0,76,1704,SUCCESS
23,4,62,1561,SUCCESS
5,0,20,578,SUCCESS
10,0,46,433,FAIL
52,3,130,1649,SUCCESS
7,0,39,680,SUCCESS
5,4,82,588,SUCCESS
48,1,120,4495,SUCCESS
21,0,97,2838,SUCCESS
23,0,56,1481,SUCCESS
8,0,33,504,SUCCESS
13,0,24,218,FAIL
7,0,51,1052,SUCCESS
34,7,60,1748,SUCCESS
7,0,46,1420,SUCCESS
13,2,61,1273,SUCCESS
8,0,20,497,SUCCESS
0,0,43,1268,SUCCESS
41,0,73,942,SUCCESS
25,2,35,973,SUCCESS
44,0,102,3125,SUCCESS
6,0,52,1508,SUCCESS
15,1,56,2500,SUCCESS
96,0,114,2014,SUCCESS
40,3,58,2009,FAIL
39,8,51,1795,FAIL
32,0,121,1442,SUCCESS
17,0,33,599,SUCCESS
53,1,120,3589,FAIL
9,2,56,1559,SUCCESS
2,0,24,752,SUCCESS
7,0,25,662,SUCCESS
4,0,32,631,SUCCESS
42,0,118,3004,SUCCESS
5,0,35,466,SUCCESS
3,0,26,816,SUCCESS
39,7,36,652,SUCCESS
41,5,67,2324,SUCCESS
47,3,59,1499,SUCCESS
27,0,56,1186,SUCCESS
15,0,48,1410,SUCCESS
19,0,51,1265,SUCCESS
13,0,54,1284,SUCCESS
31,2,89,1203,SUCCESS
21,0,77,2396,SUCCESS
8,0,44,847,FAIL
98,8,114,4128,SUCCESS
25,0,88,2664,SUCCESS
17,0,129,2151,SUCCESS
4,0,14,419,SUCCESS
5,0,64,1395,SUCCESS
1,2,43,1054,SUCCESS
9,0,13,245,FAIL
1,0,10,422,SUCCESS
73,0,124,2143,SUCCESS
5,1,41,922,SUCCESS
42,0,75,2653,SUCCESS
30,4,64,1804,SUCCESS
34,0,59,904,SUCCESS
12,0,84,740,SUCCESS
45,9,25,497,SUCCESS
24,0,82,2003,FAIL
19,14,26,469,SUCCESS
16,1,36,1030,SUCCESS
13,3,94,1219,SUCCESS
14,0,83,1529,SUCCESS
0,0,41,1607,SUCCESS
67,3,74,2358,SUCCESS
28,4,59,1972,SUCCESS
9,4,48,874,SUCCESS
6,0,28,551,SUCCESS
15,0,44,1068,SUCCESS
28,0,48,1356,SUCCESS
12,0,27,420,SUCCESS
64,0,132,1884,SUCCESS
17,0,36,874,SUCCESS
13,0,32,834,SUCCESS
20,0,52,1187,SUCCESS
25,0,80,2652,SUCCESS
17,0,114,2899,SUCCESS
14,0,46,1359,SUCCESS
3,0,32,655,SUCCESS
11,0,45,952,SUCCESS
49,7,38,1248,SUCCESS
3,1,24,759,SUCCESS
21,4,70,5173,SUCCESS
26,0,61,1380,SUCCESS
30,1,66,1482,SUCCESS
72,0,92,1678,SUCCESS
4,0,45,1228,SUCCESS
57,6,37,744,SUCCESS
12,0,40,403,SUCCESS
79,0,78,2793,SUCCESS
0,0,12,184,SUCCESS
18,3,21,578,SUCCESS
22,0,122,1529,SUCCESS
1,0,46,1585,SUCCESS
36,0,82,1606,SUCCESS
6,0,28,876,SUCCESS
0,0,64,2387,SUCCESS
16,3,36,1333,SUCCESS
15,0,55,1827,SUCCESS
46,1,54,1222,SUCCESS
27,0,73,1862,SUCCESS
25,3,49,1736,SUCCESS
27,0,47,2752,SUCCESS
10,1,28,462,SUCCESS
19,3,72,1890,FAIL
123,0,54,1139,SUCCESS
18,1,62,1955,SUCCESS
18,0,32,432,SUCCESS
7,0,25,1155,SUCCESS
19,0,43,560,SUCCESS
18,0,98,4697,SUCCESS
21,0,54,1159,SUCCESS
17,0,26,426,SUCCESS
22,8,73,1180,SUCCESS
155,0,58,1037,SUCCESS
103,0,223,2992,SUCCESS
20,0,61,802,SUCCESS
19,0,60,1833,SUCCESS
45,0,166,2624,SUCCESS
30,0,49,1757,SUCCESS
87,0,164,4215,SUCCESS
8,0,165,7040,SUCCESS
40,10,56,998,SUCCESS
63,0,99,3395,SUCCESS
5,0,50,1909,FAIL
15,4,65,1692,SUCCESS
17,0,62,1223,SUCCESS
36,0,63,1481,SUCCESS
10,1,29,623,FAIL
5,0,90,1921,SUCCESS
7,0,42,882,SUCCESS
21,0,66,1311,SUCCESS
8,0,80,1110,SUCCESS
113,0,125,2655,SUCCESS
42,18,68,1616,SUCCESS
11,0,46,1322,SUCCESS
46,0,148,1875,SUCCESS
20,4,21,443,SUCCESS
31,0,21,300,SUCCESS
20,5,51,1192,SUCCESS
0,0,12,206,SUCCESS
30,0,58,1793,SUCCESS
1,0,26,492,SUCCESS
37,0,70,1449,SUCCESS
25,0,35,927,SUCCESS
17,0,122,3237,SUCCESS
34,8,27,1099,SUCCESS
49,0,39,1145,SUCCESS
37,4,94,2120,SUCCESS
